year,currency,rate_to_ron
2024,TND,1.47
2024,TRY,0.14
2024,TTD,0.677
2024,TWD,0.143
2024,TZS,0.00178
2024,UAH,0.124
2024,UGX,0.0012
2024,USD,4.578
2024,UYU,0.114
2024,UZS,0.00037
2024,VND,0.000186
2024,XAF,0.00758
2024,XOF,0.00758
2024,ZAR,0.252
2024,ZMW,0.174
2025,AED,1.266
2025,AFN,0.067
2025,ALL,0.044
2025,AMD,0.012
2025,AOA,0.0051
2025,ARS,0.0039
2025,AUD,2.952
2025,AZN,2.74
2025,BAM,2.546
2025,BDT,0.0382
2025,BGN,2.545
2025,BHD,12.34
2025,BOB,0.673
2025,BRL,0.814
2025,BWP,0.355
2025,BYN,1.41
2025,CAD,3.284
2025,CHF,5.326
2025,CLP,0.005
2025,CNY,0.638
2025,COP,0.00112
2025,CRC,0.0091
2025,CUP,0.0039
2025,CZK,0.1985
2025,DKK,0.668
2025,DOP,0.077
2025,DZD,0.0343
2025,EGP,0.094
2025,ETB,0.0077
2025,EUR,4.978
2025,FJD,2.05
2025,GBP,5.902
2025,GEL,1.73
2025,GHS,0.306
2025,GTQ,0.6
2025,HKD,0.598
2025,HNL,0.187
2025,HRK,0.661
2025,HUF,0.0125
2025,IDR,0.000295
2025,ILS,1.22
2025,INR,0.0542
2025,IQD,0.00355
2025,ISK,0.034
2025,JMD,0.0298
2025,JOD,6.56
2025,JPY,0.0315
2025,KES,0.0355
2025,KHR,0.00114
2025,KRW,0.0033
2025,KWD,15.19
2025,KZT,0.0091
2025,LAK,0.00021
2025,LBP,5e-05
2025,LKR,0.0152
2025,LYD,3.39
2025,MAD,0.468
2025,MDL,0.262
2025,MKD,0.081
2025,MMK,0.0022
2025,MNT,0.00134
2025,MUR,0.1
2025,MXN,0.229
2025,MYR,0.99
2025,MZN,0.073
2025,NGN,0.0029
2025,NOK,0.437
2025,NPR,0.0338
2025,NZD,2.741
2025,OMR,12.08
2025,PAB,4.65
2025,PEN,1.23
2025,PGK,1.22
